time,open,high,low,close,volume
2024-04-02,0.3,0.913,0.3,0.775,1550711911.76
2024-04-03,0.775,1.32,0.703,1.134,1339413318.28
2024-04-04,1.134,1.168,0.907,0.97,646917621.19
2024-04-05,0.97,1.069,0.861,1.018,502228726.98
2024-04-06,1.018,1.194,0.962,1.089,415550563.03
2024-04-07,1.089,1.271,1.059,1.19,416627251.24
2024-04-08,1.191,1.36,1.07,1.293,526618635.97
2024-04-09,1.293,1.405,1.192,1.241,428924416.69
2024-04-10,1.241,1.51,1.223,1.461,572616730.05
2024-04-11,1.461,1.523,1.35,1.372,357195527.69
2024-04-12,1.372,1.484,1.08,1.278,579654136.95
2024-04-13,1.278,1.341,0.904,1.046,562522510.58
2024-04-14,1.047,1.22,0.986,1.209,442263426.06
2024-04-15,1.209,1.218,1.021,1.057,370103707.68
2024-04-16,1.056,1.08,0.891,0.979,360361043.94
2024-04-17,0.98,1.059,0.904,0.925,308324622.05
2024-04-18,0.924,0.95,0.819,0.913,296952635.42
2024-04-19,0.913,1.044,0.816,0.968,324078494.26
2024-04-20,0.969,1.121,0.948,1.083,271133804.23
2024-04-21,1.082,1.108,1.025,1.05,155296030.0
2024-04-22,1.05,1.1,1.026,1.05,166300323.73
2024-04-23,1.05,1.068,0.931,0.939,199333061.39
2024-04-24,0.938,0.985,0.86,0.874,205891122.14
2024-04-25,0.874,0.906,0.833,0.871,160350225.74
2024-04-26,0.871,0.887,0.812,0.824,146480008.37
2024-04-27,0.824,0.847,0.77,0.84,152548642.65
2024-04-28,0.841,0.896,0.832,0.849,151089695.36
2024-04-29,0.848,0.944,0.775,0.926,242859508.54
2024-04-30,0.926,0.939,0.792,0.814,226011295.24
2024-05-01,0.814,0.831,0.735,0.798,227898115.53
2024-05-02,0.799,0.832,0.765,0.798,137247628.94
2024-05-03,0.797,0.878,0.783,0.852,147196600.59
2024-05-04,0.852,0.875,0.82,0.828,120172309.86
2024-05-05,0.828,0.832,0.795,0.812,88509844.65
2024-05-06,0.813,0.936,0.81,0.892,236154939.87
2024-05-07,0.892,1.005,0.856,0.92,285968217.56
2024-05-08,0.92,0.953,0.855,0.874,239798626.73
2024-05-09,0.874,0.911,0.849,0.893,97147589.09
2024-05-10,0.894,0.938,0.824,0.847,131113499.66
2024-05-11,0.847,0.872,0.838,0.842,52946141.69
2024-05-12,0.841,0.854,0.819,0.83,49419446.11
2024-05-13,0.83,0.836,0.755,0.768,165775186.6
2024-05-14,0.767,0.774,0.672,0.693,168246799.43
2024-05-15,0.694,0.749,0.666,0.734,206630003.85
2024-05-16,0.735,0.754,0.653,0.671,154458464.67
2024-05-17,0.672,0.749,0.669,0.719,140438757.51
2024-05-18,0.72,0.795,0.703,0.754,128224731.52
2024-05-19,0.753,0.758,0.697,0.713,67893575.47
2024-05-20,0.713,0.849,0.69,0.832,157774386.73
2024-05-21,0.833,0.902,0.82,0.886,216158623.11
2024-05-22,0.886,0.896,0.803,0.853,129257598.93
2024-05-23,0.853,0.909,0.831,0.866,252420020.88
2024-05-24,0.866,0.92,0.832,0.851,135226999.73
2024-05-25,0.852,0.952,0.846,0.912,114799799.0
2024-05-26,0.913,0.972,0.902,0.921,100387365.29
2024-05-27,0.922,0.956,0.891,0.921,114109169.1
2024-05-28,0.921,0.927,0.859,0.894,102451734.41
2024-05-29,0.893,0.908,0.833,0.837,72541294.47
2024-05-30,0.837,0.902,0.813,0.871,85791604.41
2024-05-31,0.872,0.909,0.86,0.878,92433518.94
2024-06-01,0.879,0.939,0.873,0.91,64977485.6
2024-06-02,0.911,0.935,0.878,0.92,89909076.8
2024-06-03,0.921,1.042,0.903,1.027,164200177.78
2024-06-04,1.027,1.082,0.938,0.978,153339761.42
2024-06-05,0.977,0.996,0.934,0.979,80125886.43
2024-06-06,0.98,1.008,0.94,0.952,55735185.94
2024-06-07,0.952,0.966,0.791,0.885,105986196.39
2024-06-08,0.885,0.891,0.814,0.831,50922431.64
2024-06-09,0.831,0.84,0.81,0.831,36255430.56
2024-06-10,0.831,0.831,0.769,0.771,55026254.71
2024-06-11,0.771,0.775,0.7,0.71,131335008.6
2024-06-12,0.709,0.798,0.684,0.731,120048299.2
2024-06-13,0.731,0.731,0.677,0.697,58010353.49
2024-06-14,0.697,0.735,0.661,0.71,70085257.78
2024-06-15,0.71,0.75,0.695,0.748,42651849.64
2024-06-16,0.749,0.777,0.724,0.767,46731149.61
2024-06-17,0.767,0.773,0.666,0.676,99904403.41
2024-06-18,0.676,0.677,0.554,0.627,152859032.88
2024-06-19,0.628,0.687,0.621,0.635,88447505.74
2024-06-20,0.635,0.668,0.6,0.613,76684151.77
2024-06-21,0.613,0.626,0.594,0.6,44737012.38
2024-06-22,0.6,0.611,0.585,0.602,23263659.83
2024-06-23,0.602,0.612,0.558,0.568,31840381.87
2024-06-24,0.568,0.573,0.513,0.558,77554226.66
2024-06-25,0.558,0.59,0.547,0.573,45124554.87
2024-06-26,0.573,0.594,0.543,0.559,43156842.16
2024-06-27,0.56,0.593,0.542,0.56,40954993.24
2024-06-28,0.561,0.574,0.507,0.513,48117340.86
2024-06-29,0.513,0.529,0.487,0.489,28430113.54
2024-06-30,0.489,0.541,0.483,0.533,31269581.06
2024-07-01,0.533,0.556,0.503,0.505,44124517.61
2024-07-02,0.506,0.532,0.495,0.514,34397888.95
2024-07-03,0.514,0.517,0.453,0.461,54515779.71
2024-07-04,0.461,0.469,0.401,0.406,66471873.06
2024-07-05,0.407,0.407,0.343,0.379,109209897.09
2024-07-06,0.379,0.419,0.368,0.413,48048394.75
2024-07-07,0.413,0.426,0.375,0.377,55750640.14
2024-07-08,0.378,0.413,0.349,0.404,98779696.39
2024-07-09,0.404,0.425,0.396,0.423,49321127.92
2024-07-10,0.423,0.443,0.407,0.415,44678190.03
2024-07-11,0.416,0.434,0.39,0.394,49265888.75
2024-07-12,0.394,0.403,0.374,0.396,50212531.77
2024-07-13,0.397,0.407,0.387,0.4,35449544.61
2024-07-14,0.4,0.405,0.38,0.399,51918371.33
2024-07-15,0.4,0.496,0.397,0.481,129014640.51
2024-07-16,0.481,0.497,0.445,0.464,92673063.27
2024-07-17,0.464,0.487,0.452,0.457,88976685.51
2024-07-18,0.458,0.497,0.451,0.49,90619817.21
2024-07-19,0.49,0.514,0.457,0.487,60956825.27
2024-07-20,0.488,0.508,0.478,0.502,42507564.66
2024-07-21,0.502,0.502,0.455,0.491,44003362.78
2024-07-22,0.491,0.495,0.429,0.434,57800238.81
2024-07-23,0.434,0.458,0.414,0.457,113083659.1
2024-07-24,0.457,0.517,0.442,0.454,130993114.11
2024-07-25,0.455,0.455,0.413,0.428,79958090.95
2024-07-26,0.429,0.473,0.423,0.464,53007996.09
2024-07-27,0.465,0.48,0.445,0.468,40466806.65
2024-07-28,0.469,0.469,0.44,0.448,28305884.99
2024-07-29,0.449,0.476,0.437,0.439,54816470.6
2024-07-30,0.44,0.448,0.405,0.411,40979786.02
2024-07-31,0.412,0.418,0.392,0.399,47342243.84
2024-08-01,0.4,0.407,0.364,0.396,57843124.8
2024-08-02,0.396,0.399,0.349,0.352,68353869.37
2024-08-03,0.351,0.356,0.31,0.313,67370470.94
2024-08-04,0.313,0.325,0.276,0.292,97179079.63
2024-08-05,0.292,0.294,0.226,0.261,242072770.86
2024-08-06,0.261,0.29,0.26,0.276,79918124.48
2024-08-07,0.276,0.288,0.256,0.261,70262898.73
2024-08-08,0.262,0.315,0.258,0.312,54578294.17
2024-08-09,0.313,0.315,0.299,0.312,49901915.5
2024-08-10,0.312,0.335,0.302,0.32,36364084.67
2024-08-11,0.32,0.327,0.292,0.294,35751630.2
2024-08-12,0.294,0.344,0.291,0.329,104198565.72
2024-08-13,0.33,0.347,0.311,0.341,50402573.51
2024-08-14,0.341,0.344,0.318,0.324,44872589.38
2024-08-15,0.325,0.336,0.296,0.305,49715751.63
2024-08-16,0.305,0.31,0.286,0.3,39013828.65
2024-08-17,0.3,0.305,0.29,0.299,18234658.6
2024-08-18,0.299,0.306,0.29,0.291,34017232.08
2024-08-19,0.292,0.297,0.272,0.289,46431244.83
2024-08-20,0.289,0.305,0.283,0.294,41443677.62
2024-08-21,0.294,0.308,0.283,0.304,40867199.44
2024-08-22,0.304,0.31,0.297,0.305,30003031.12
2024-08-23,0.305,0.365,0.304,0.359,89306399.39
2024-08-24,0.36,0.385,0.356,0.37,55800209.65
2024-08-25,0.37,0.37,0.345,0.348,50113530.8
2024-08-26,0.349,0.355,0.309,0.313,59120417.22
2024-08-27,0.313,0.319,0.266,0.273,88291875.0
2024-08-28,0.273,0.286,0.248,0.254,129302318.24
2024-08-29,0.255,0.26,0.236,0.242,121096976.97
2024-08-30,0.242,0.246,0.225,0.241,112550782.25
2024-08-31,0.242,0.246,0.232,0.238,38316145.44
2024-09-01,0.238,0.241,0.218,0.223,73718121.97
2024-09-02,0.223,0.243,0.217,0.238,90434709.84
2024-09-03,0.239,0.244,0.218,0.219,65017424.25
2024-09-04,0.22,0.228,0.204,0.221,113489234.06
2024-09-05,0.222,0.225,0.205,0.208,126762770.98
2024-09-06,0.208,0.217,0.194,0.205,164207381.94
2024-09-07,0.205,0.213,0.203,0.211,36557141.74
2024-09-08,0.211,0.225,0.209,0.22,63273291.04
2024-09-09,0.221,0.238,0.215,0.235,84426721.55
2024-09-10,0.235,0.236,0.225,0.228,113445136.55
2024-09-11,0.228,0.229,0.206,0.212,146530603.23
2024-09-12,0.212,0.218,0.202,0.212,161283138.45
2024-09-13,0.212,0.224,0.205,0.22,156191230.42
2024-09-14,0.22,0.227,0.218,0.223,84684202.86
